"","school_name","not_eligible_num","reduce_num","free_num","frpl_num","frpl_pct"
"1","ANDERSEN UNITED","57","100","727","884","93.6%"
"2","ANISHINABE ACAD","21","7","222","250","91.6%"
"3","ARMATAGE","464","17","134","615","24.6%"
"4","BANCROFT","114","36","355","505","77.4%"
"5","BARTON","394","35","270","699","43.6%"
"6","BETHUNE","16","6","287","309","94.8%"
"7","BRYN MAWR","69","31","240","340","79.7%"
"8","BURROUGHS","649","13","78","740","12.3%"
"9","CITYVIEW COMMUNITY","26","6","292","324","92.0%"
"10","DOWLING","263","18","196","477","44.9%"
"11","EMERSON SILC","149","78","262","489","69.5%"
"12","FIELD","422","28","67","517","18.4%"
"13","FOLWELL FINE ARTS","117","85","612","814","85.6%"
"14","GREEN","24","21","278","323","92.6%"
"15","HALE","567","14","64","645","12.1%"
"16","HALL","10","15","208","233","95.7%"
"17","HIAWATHA","178","14","56","248","28.2%"
"18","HMONG INTERNATIONAL","59","43","423","525","88.8%"
"19","HOWE","141","22","61","224","37.1%"
"20","JEFFERSON","36","39","405","480","92.5%"
"21","KENNY","367","25","86","478","23.2%"
"22","KENWOOD","320","15","66","401","20.2%"
"23","LAKE HARRIET LOWER","477","6","20","503","5.2%"
"24","LAKE HARRIET UPPER","590","8","36","634","6.9%"
"25","LIND","30","27","332","389","92.3%"
"26","LK NOKOMIS KEEWAYDIN","253","42","168","463","45.4%"
"27","LK NOKOMIS WENONAH","168","28","87","283","40.6%"
"28","LORING","138","61","204","403","65.8%"
"29","LUCY LANEY @ CLVLND","72","12","371","455","84.2%"
"30","LYNDALE","223","34","238","495","54.9%"
"31","MARCY OPEN","360","45","334","739","51.3%"
"32","NELLIE STONE JOHNSON","17","38","371","426","96.0%"
"33","NORTHROP","388","23","82","493","21.3%"
"34","PILLSBURY","52","37","233","322","83.9%"
"35","PRATT","116","12","146","274","57.7%"
"36","PREK NORTH","0","1","5","6","100.0%"
"37","PREK SOUTH","0","0","0","0","#DIV/0!"
"38","SEWARD","385","36","425","846","54.5%"
"39","SHERIDAN","45","33","198","276","83.7%"
"40","SULLIVAN","75","25","487","587","87.2%"
"41","WAITE PARK","226","40","143","409","44.7%"
"42","WEBSTER COMMUNITY","145","15","137","297","51.2%"
"43","WHITTIER","129","39","360","528","75.6%"
"44","WINDOM","382","55","144","581","34.3%"
"45","ELM K_08","8734","1285","9910","19929","56.2%"
"46","","","","","",""
"47","ANTHONY","485","39","257","781","37.9%"
"48","ANWATIN NEW","185","52","318","555","66.7%"
"49","FRANKLIN","45","22","301","368","87.8%"
"50","JUSTICE PAGE","487","49","308","844","42.3%"
"51","NORTHEAST","134","38","330","502","73.3%"
"52","OLSON","72","31","284","387","81.4%"
"53","SANFORD","420","81","469","970","56.7%"
"54","Mid Schl","1828","312","2267","4407","58.5%"
"55","","","","","",""
"56","EDISON HIGH","252","74","679","1005","74.9%"
"57","FAIR HIGH SCHOOL","85","26","112","223","61.9%"
"58","HENRY HIGH","335","60","662","1057","68.3%"
"59","HENRY SWS","1","0","0","1","0.0%"
"60","HERITAGE","30","1","172","203","85.2%"
"61","NORTH ACADEMY","85","13","349","447","81.0%"
"62","ROOSEVELT HIGH","416","66","532","1014","59.0%"
"63","ROOSEVELT SWS","2","0","0","2","0.0%"
"64","SOUTH HIGH","790","100","849","1739","54.6%"
"65","SOUTHWEST HIGH","1203","100","620","1923","37.4%"
"66","WASHBURN HIGH","1014","130","488","1632","37.9%"
"67","WELLSTONE","10","7","191","208","95.2%"
"68","WELLSTONE SWS","0","0","17","17","100.0%"
"69","High Schl","4223","577","4671","9471","55.4%"
"70","","","","","",""
"71","LONGFELLOW","2","0","70","72","97.2%"
"72","MACC","7","1","24","32","78.1%"
"73","MACC EXT DAYMPLS ON LINE LEARNING","32","0","3","35","8.6%"
"74","","32","1","21","54","40.7%"
"75","Alt HS","73","2","118","193","62.2%"
"76","","","","","",""
"77","ECSE","264","39","252","555","52.4%"
"78","HARRISON SEC CTR","4","1","24","29","86.2%"
"79","RIVER BEND ED CNT","6","3","77","86","93.0%"
"80","TRANSITION PLUS","71","19","179","269","73.6%"
"81","Spec Ed Total","345","62","532","939","63.3%"
"82","","","","","",""
"83","AMERICAN IND OIC","6","2","28","36","83.3%"
"84","CENTER SCHOOL","5","1","41","47","89.4%"
"85","CENTER SCHOOL EXT DAY","1","0","0","1","0.0%"
"86","LORING-NICOLLET","32","3","23","58","44.8%"
"87","MENLO PARK","20","3","49","72","72.2%"
"88","MERC","18","6","27","51","64.7%"
"89","MERC EXT DAY","3","0","4","7","57.1%"
"90","PLYMOUTH YTH CTR","17","2","81","100","83.0%"
"91","PLYMOUTH YTH EXT DAY","0","3","14","17","100.0%"
"92","RON MCDONALD HOUSE","5","","2","7","28.6%"
"93","VOA EXT DAY","2","0","11","13","84.6%"
"94","VOA PHOENIX","17","5","70","92","81.5%"
"95","Cont Alt Total","126","25","350","501","74.9%"
"96","","","","","",""
"97","MPS METRO C","0","","18","18","100.0%"
"98","MPS METRO R/HA","0","","34","34","100.0%"
"99","MPS METRO SJ","0","","23","23","100.0%"
"100","STADIUM VIEW","0","","31","31","100.0%"
"101","Hospital Sites Total","0","0","106","106","100.0%"
"102","","","","","",""
"103","Dist Total","15329","2263","17954","35546","56.9%"
