"","school_group","school_name","grade","na_num","na_pct","aa_num","aa_pct","as_num","as_pct","hi_num","hi_pct","wh_num","wh_pct","pi_pct","blank_col","tot"
"1","K-5","ARMATAGE","KG","2","1.8%","23","20.7%","6","5.4%","3","2.7%","77","69.4%","","0.0%","111"
"2","K-5","ARMATAGE","1","","0.0%","20","19.4%","11","10.7%","6","5.8%","66","64.1%","","0.0%","103"
"3","K-5","ARMATAGE","2","1","1.0%","21","20.8%","6","5.9%","3","3.0%","69","68.3%","1","1.0%","101"
"4","K-5","ARMATAGE","3","2","1.9%","19","18.3%","4","3.8%","7","6.7%","72","69.2%","","0.0%","104"
"5","K-5","ARMATAGE","4","","0.0%","16","17.8%","4","4.4%","5","5.6%","65","72.2%","","0.0%","90"
"6","K-5","ARMATAGE","5","","0.0%","20","20.8%","2","2.1%","5","5.2%","67","69.8%","2","2.1%","96"
"7","","ARMATAGE Total","","5","0.8%","119","19.7%","33","5.5%","29","4.8%","416","68.8%","3","0.5%","605"
"8","K-5","BANCROFT","KG","8","9.3%","31","36.0%","4","4.7%","15","17.4%","28","32.6%","","0.0%","86"
"9","K-5","BANCROFT","1","8","9.4%","40","47.1%","5","5.9%","12","14.1%","20","23.5%","","0.0%","85"
"10","K-5","BANCROFT","2","10","10.9%","47","51.1%","3","3.3%","16","17.4%","16","17.4%","","0.0%","92"
"11","K-5","BANCROFT","3","4","4.9%","41","50.0%","4","4.9%","17","20.7%","16","19.5%","","0.0%","82"
"12","K-5","BANCROFT","4","9","10.7%","42","50.0%","2","2.4%","18","21.4%","13","15.5%","","0.0%","84"
"13","K-5","BANCROFT","5","10","13.5%","37","50.0%","2","2.7%","15","20.3%","10","13.5%","","0.0%","74"
"14","","BANCROFT Total","","49","9.7%","238","47.3%","20","4.0%","93","18.5%","103","20.5%","0","0.0%","503"
"15","K-5","BETHUNE","KG","1","1.8%","45","80.4%","1","1.8%","2","3.6%","7","12.5%","","0.0%","56"
"16","K-5","BETHUNE","1","","0.0%","47","83.9%","2","3.6%","1","1.8%","6","10.7%","","0.0%","56"
